Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2104,3,Discrete Mathematics,3-0-0,3,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2105,3,Optimization Techniques,3-0-0,3,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,HS21XX,3,HSS Elective I,3-0-0,3,HS,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2201,4,Formal Language and Automata Theory,3-0-0,3,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2202,4,Database and Warehousing,3-0-2,4,Core,1.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2203,4,Artificial Intelligence,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2204,4,IT Workshop,0-2-2,3,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2205,4,Computer Architecture,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS2209,4,IDE - I (Introduction to Data Science),3-0-0,3,IDE1,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3101,5,Operating System,3-0-3,4.5,Core,1.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3102,5,Computer Network,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3103,5,Machine Learning,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3104,5,Compiler,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3109,5,IDE - II (Computer Graphics),3-0-0,3,IDE2,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3201,6,Cyber Security,3-0-2,4,Core,1.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3202,6,Deep Learning,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3203,6,Internet of Things,3-0-3,4.5,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS32XX,6,DE1,3-0-0,3,DE1,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS3299,6,Capstone Project,0-0-6,3,Core,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS41XX,7,DE1I,3-0-0,3,DE2,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS41XX,7,DE1II,3-0-0,3,DE3,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS4109,7,IDE1II(Data Analysis and Visualization),3-0-0,3,IDE3,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,HS41PQ,7,HSS Elective II,3-0-0,3,HS2,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS4198,7,Summer Internship/ Summer Project,0-0-12,3,SI,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS4199,7,Project   I,0-0-12,6,P1,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS42XX,8,DE1V,3-0-0,3,DE4,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS42XX,8,DE5,3-0-0,3,DE5,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS42XX,8,DE5I,3-0-0,3,DE6,0.0
Computer Science and Engineering,Btech in Computer Science and Engineering,2401CS,CS4299,8,Project   II,0-0-16,8,P2,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,CS1101,1,Foundations of Programming,3-0-3,4.5,Core,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,HS1101,1,English for Professionals,2-0-1,2.5,HS,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0.0
Electrical Engineering,B. Tech. in Electronics and Communication Engineering (ECE)  and Minor in Communication.,2401EC,CS1201,2,Data Structure,3-0-3,4.5,Core,0.0
