1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
124,Department of Chemistry,,2401CT,,1,Engineering Graphics,1-0-3,2.5,Core,0,,,,,,,,,,,
125,Department of Chemistry,,2401CT,,1,Electrical Sciences,3-0-3,4.5,Core,0,,,,,,,,,,,
126,Department of Chemistry,,2401CT,HS1101,1,English for Professionals,2-0-1,2.5,Core,0,,,,,,,,,,,
127,Department of Chemistry,,2401CT,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,,,,,,,,,
128,Department of Chemistry,,2401CT,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,,,,,,,,,
129,Department of Chemistry,,2401CT,,2,Chemistry,3-1-3,5.5,Core,0,,,,,,,,,,,
130,Department of Chemistry,,2401CT,,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,,,,,,,,,
131,Department of Chemistry,,2401CT,,2,Engineering Mechanics,3-1-0,4,Core,0,,,,,,,,,,,
132,Department of Chemistry,,2401CT,IK1101,2,Indian Knowledge System(IKS),3-0-0,3,IKS,0,,,,,,,,,,,
133,Department of Chemistry,,2401CT,CH2101,3,Organic Chemistry,3-1-0,4,Core,0,,,,,,,,,,,
134,Department of Chemistry,,2401CT,CH2102,3,Inorganic Chemistry,3-1-0,4,Core,0,,,,,,,,,,,
135,Department of Chemistry,,2401CT,CH2103,3,Introduction to Quantum Chemistry,3-1-0,4,Core,0,,,,,,,,,,,
136,Department of Chemistry,,2401CT,CH2104,3,Fluid Mechanics,3-1-2,5,Core,0,,,,,,,,,,,
137,Department of Chemistry,,2401CT,CH2105,3,Chemical Process Calculations,3-0-0,3,Core,0,,,,,,,,,,,
138,Department of Chemistry,,2401CT,HS21PQ,3,HSS Elective-I,3-0-0,3,HS1,0,,,,,,,,,,,
139,Department of Chemistry,,2401CT,CH2201,4,Structure and function of Biomolecules,3-0-0,3,Core,0,,,,,,,,,,,
140,Department of Chemistry,,2401CT,CH2202,4,Introduction to Organometallics,3-1-0,4,Core,1,,,,,,,,,,,
141,Department of Chemistry,,2401CT,CH2203,4,Chemical Thermodynamics and Equilibrium,3-1-0,4,Core,0,,,,,,,,,,,
142,Department of Chemistry,,2401CT,CH2204,4,Industrial Chemistry,3-0-0,3,Core,0,,,,,,,,,,,
143,Department of Chemistry,,2401CT,CH2205,4,Chemical Technology Laboratory I,0-0-6,3,Core,0,,,,,,,,,,,
144,Department of Chemistry,,2401CT,CH2206,4,IDE1: Green Science and Technology,3-0-0,3,IDE1,0,,,,,,,,,,,
145,Department of Chemistry,,2401CT,CH3101,5,Macromolecular Science and Engineering,3-1-0,4,Core,1,,,,,,,,,,,
146,Department of Chemistry,,2401CT,CH3102,5,Design and Applications of Nanomaterials,2-1-0,3,Core,0,,,,,,,,,,,
147,Department of Chemistry,,2401CT,CH3103,5,Chemical Kinetics and Electrochemistry,3-0-0,3,Core,0,,,,,,,,,,,
148,Department of Chemistry,,2401CT,CH3104,5,Techniques for Chemical Analysis,3-1-0,4,Core,1,,,,,,,,,,,
149,Department of Chemistry,,2401CT,CH3105,5,Chemical Technology Laboratory II,0-0-6,3,Core,0,,,,,,,,,,,
150,Department of Chemistry,,2401CT,CH3106,5,IDE1I: Synthesis of Industrially Important Inorganic Molecules,3-0-0,3,IDE2,0,,,,,,,,,,,
151,Department of Chemistry,,2401CT,CH3201,6,Medicinal Chemistry,3-0-0,3,Core,0,,,,,,,,,,,
152,Department of Chemistry,,2401CT,CH3202,6,Environmental Science & Technology,3-0-0,3,Core,0,,,,,,,,,,,
153,Department of Chemistry,,2401CT,CH3203,6,Computational Chemistry,3-0-2,4,Core,1,,,,,,,,,,,
154,Department of Chemistry,,2401CT,CH3204,6,Chemistry for Propellants and Pyrotechnics,3-0-0,3,Core,0,,,,,,,,,,,
155,Department of Chemistry,,2401CT,CH3205,6,Chemical Technology Laboratory III,0-0-6,3,Core,0,,,,,,,,,,,
156,Department of Chemistry,,2401CT,CH32PQ,6,Department Elective-I,3-0-0,3,DE1,0,,,,,,,,,,,
157,Department of Chemistry,,2401CT,CH41PQ,7,Departmental Elective – II,3-0-0,3,DE2,0,,,,,,,,,,,
158,Department of Chemistry,,2401CT,CH41PQ,7,Departmental Elective – III,3-0-0,3,DE3,0,,,,,,,,,,,
159,Department of Chemistry,,2401CT,CH4111,7,IDE1II: Analytical Chemistry,3-0-0,3,IDE3,0,,,,,,,,,,,
160,Department of Chemistry,,2401CT,HS41PQ,7,HSS Elective II,3-0-0,3,HS2,0,,,,,,,,,,,
161,Department of Chemistry,,2401CT,CH4198,7,Summer Internship*,0-0-12,3,SI,0,,,,,,,,,,,
162,Department of Chemistry,,2401CT,CH4199,7,Project – I,0-0-6,6,P1,0,,,,,,,,,,,
163,Department of Chemistry,,2401CT,CH42XX,8,Departmental Elective – IV,3-0-0,3,DE4,0,,,,,,,,,,,
164,Department of Chemistry,,2401CT,CH42XX,8,Departmental Elective – V,3-0-0,3,DE5,0,,,,,,,,,,,
165,Department of Chemistry,,2401CT,CH42XX,8,Departmental Elective – VI,3-0-0,3,DE6,0,,,,,,,,,,,
166,Department of Chemistry,,2401CT,CH4299,8,Project – II,0-0-16,8,P2,0,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,
Aishez Singh,,,,,,,,,,,,,,,,,,,,,
181,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0,,,,,,,,,,,
