Course Code,Course Name,LTP,Credit,Type
CE6231,Advanced Pavement Material Characterization,3-0-0,3.0,DE4
CE6229,Advanced Flexible Pavement Analysis and Design,3-0-0,3.0,DE4
CE6230,Advanced Concrete Pavement Analysis and Design,3-0-0,3.0,DE4
CE6110,Biogeotechnics,3-0-0,3.0,DE1
CE6126,Intelligent Transportation Systems,3-0-0,3.0,DE1
CE6127,Pavement Management Systems,3-0-0,3.0,DE1
CE6227,Traffic Flow Theory,3-0-0,3.0,DE3
CE6124,Advanced Structural Dynamics,3-0-0,3.0,DE2
CE5103,Solid and Hazardous Waste Management,3-0-0,3.0,DE1/DE2/DE3
CE6216,Special Topics in Rock Engineering for Infrastructural Development,3-0-0,3.0,DE4/DE5/DE6
CE6133,Data Science for Engineers,3-0-0,3.0,IDE
CS6121,Advanced Blockchain Technology,3-0-0,3.0,DE1
CS6122,Advanced Cyber Security,3-0-0,3.0,DE1
CS6123,Advanced Pattern Recognition,3-0-0,3.0,DE1
CS6124,Formal Methods in Program Analysis and Verification,3-0-0,3.0,DE1
CS6130,Federated Learning,3-0-0,3.0,DE1
CS6127,Advanced Cloud Computing,3-0-0,3.0,DE2
CS6128,Advanced Edge Computing,3-0-0,3.0,DE2
CS6129,Advanced Computational Data Analysis,3-0-0,3.0,DE2
CS6131,Reinforcement Learning,3-0-0,3.0,DE2
CS6132,Advanced Graph Machine Learning,3-0-0,3.0,DE2
CS6133,Advanced Time Series Analysis,3-0-0,3.0,DE2
CS6221,Artificial Internet of Things,3-0-0,3.0,DE3
CS6222,Game Theory,3-0-0,3.0,DE3
CS6224,Text Mining & Analytics,3-0-0,3.0,DE3
CS6225,Knowledge Distillation,3-0-0,3.0,DE4
CS6227,Physics of Neural Network,3-0-0,3.0,DE4
CS6228,Selected Topics in Wireless Networks,3-0-0,3.0,DE4
CS6229,Advanced Big Data Analytics,3-0-0,3.0,DE4
CS6223,Quantum Machine Learning,3-0-0,3.0,DE5
CS6230,Meta Learning,3-0-0,3.0,DE5
CS6233,Selective Topics in Generative AI,3-0-0,3.0,DE5
CS6109,Drone Data Processing & Analysis,3-0-0,3.0,IDE1
CS6125,Cyber Physical Systems,3-0-0,3.0,DE1
CS6226,Quantum Cyber Security,3-0-0,3.0,DE4
CS6231,Selected Topics in Cryptography,3-0-0,3.0,DE4
CS6232,High Performance Computing,3-0-0,3.0,DE4
EC6116,RF and Microwave Active Circuits,3-0-0,3.0,DE1
EC5113,Internet of Things (IoT) Networks,3-0-0,3.0,DE1
EC5114,Advance Antenna and Microwave Devices,3-0-0,3.0,DE1
EC6154,Radio Frequency Integrated Circuits,3-0-0,3.0,DE1
EC6114,Advanced Digital Image Processing,3-0-0,3.0,DE1
EC5111,Computer Vision,3-0-0,3.0,DE2
EC5159,Radio Frequency Design and Technology,3-0-0,3.0,DE2
EC5104,VLSI Architectural Design and Implementation,3-0-0,3.0,DE2
EC6157,Bio Sensors and Circuits,3-0-0,3.0,DE2
EE6190,Quantum Computing,3-0-0,3.0,DE2
EC5250,VLSI Signal Processing,3-0-0,3.0,DE2
EC5204,Renewable Energy Sources,3-0-0,3.0,IDE
EC6208,Patterns Recognition and Machine Learning,3-0-0,3.0,DE3
EC6210,Multimedia Communication ,3-0-0,3.0,DE3
EC5205,RF and Microwave Measurement Techniques,3-0-0,3.0,DE3
EC6209,Optical Communication ,3-0-0,3.0,DE3
EE6215,Quantum Computing,3-0-0,3.0,DE4
EC6211,Adaptive filtering: From theory to practice,3-0-0,3.0,DE4
EC6213,Random Signals and Systems,3-0-0,3.0,DE4
EC5203,Antenna Design and Characterization,3-0-0,3.0,DE4
EC5206,Statistical Signal Processing,3-0-0,3.0,DE4
EC6212,Communication Networks,3-0-0,3.0,DE5
EC5216,Advanced Signal Biomedical Processing,3-0-0,3.0,DE5
EC6207,Optimization Theory  and  Techniques  for Electrical Engineering,3-0-0,3.0,DE5
EC6271,Silicon Photonics,3-0-0,3.0,DE5
EE6111,Renewable Energy Sources,3-0-0,3.0,IDE
EE6114,Renewable Energy Integration,3-0-0,3.0,DE1
EE6117,Advanced Power System Reliability,3-0-0,3.0,DE1
EC6150,Advanced State Estimation and Target Tracking,3-0-0,3.0,DE1
EE5113,Multivariable Control System,3-0-0,3.0,DE1
EE6113,CMOS Phase Locked Loops,3-0-0,3.0,DE1
EE6115,Power System Deregulation,3-0-0,3.0,DE2
EE6116,Advanced Power System Protection,3-0-0,3.0,DE2
EE5213,Advanced Digital Control System,3-0-0,3.0,DE2
EE6212,VLSI Architectural Design and Implementation,3-0-0,3.0,DE2
EE6217,Recent Trends in Optimization Techniques,3-0-0,3.0,DE3
EC6270,Model Predictive Control,3-0-0,3.0,DE3
EE6218,HVDC Transmission Systems,3-0-0,3.0,DE3
EE6213,Advance FPGA Platform and System,3-0-0,3.0,DE3
EE6216,Advance Electric Drives,3-0-0,3.0,DE4
EE6211,Random Signals and Systems,3-0-0,3.0,DE4
EE6214,Quantitative Feedback Theory,3-0-0,3.0,DE4
EE5212,Control Techniques in Power Electronics,3-0-0,3.0,DE5
EE 6219,Telemetry and SCADA,3-0-0,3.0,DE5
EC5158,Radio Frequency Integrated Circuits ,3-0-0,3.0,DE1
EE5111,Quantum Computing,3-0-0,3.0,DE2
EC5166,VLSI Architecture Design and Implementation ,3-0-0,3.0,DE2
EC6151,Control Techniques in Power Electronics ,3-0-0,3.0,DE2
EC5211,Patterns Recognition and Machine Learning ,3-0-0,3.0,DE3
EC5264,Multimedia Communication,3-0-0,3.0,DE3
EC6254,VLSI Technology,3-0-0,3.0,DE3
EC5254,Advance FPGA Platform and System ,3-0-0,3.0,DE3
EC5256,Recent Trends in Optimization Techniques ,3-0-0,3.0,DE4
EC6252,CAD VLSI,3-0-0,3.0,DE4
EC6257,Random Signals and Systems ,3-0-0,3.0,DE4
EC5260,Network on Chip ,3-0-0,3.0,DE4
EC5271,Silicon Photonics ,3-0-0,3.0,DE5
EC6256,Embedded System Integration,3-0-0,3.0,DE5
EC6258,High Power Semiconductor Devices,3-0-0,3.0,DE5
MA6113,Cryptography and Network Security,3-0-0,3.0,DE1
MA6114,Graph Theory,3-0-0,3.0,DE1
